,Subject,Trial,Angle,Matching,Response,Time,Correct
4681,34,74.0,100.0,False,n,3658.0,True
4682,34,75.0,150.0,True,b,2139.0,True
4683,34,76.0,0.0,False,n,5103.0,True
4684,34,77.0,0.0,True,b,1887.0,True
4685,34,78.0,50.0,True,b,2679.0,True
4686,34,79.0,50.0,False,n,1884.0,True
4687,34,80.0,150.0,False,n,4413.0,True
4688,34,81.0,50.0,False,n,3975.0,True
4689,34,82.0,0.0,True,b,987.0,True
4690,34,83.0,150.0,False,n,2753.0,True
4691,34,84.0,50.0,True,b,4100.0,True
4692,34,85.0,100.0,True,b,1955.0,True
4693,34,86.0,0.0,False,b,3154.0,False
4694,34,87.0,150.0,True,b,4062.0,True
4695,34,88.0,100.0,False,n,2792.0,True
4696,34,89.0,100.0,False,n,6500.0,True
4697,34,90.0,50.0,True,b,2849.0,True
4698,34,91.0,0.0,True,b,1200.0,True
4699,34,92.0,150.0,True,b,2612.0,True
4700,34,93.0,150.0,False,n,4527.0,True
